from,to,h,prior,n_subnodes,type,name,count
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,INT,0,0
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,INT,1,0
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,INT,2,0
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,INT,3,1
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,INT,4,0
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,INT,5,0
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,INT,6,0
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,INT,7,0
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,INT,8,1
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,INT,9,0
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,INT,30,0
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,SEQ,1,2
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,SEQ,0,4
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,SEQ,from_seq,0
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,SEQ,invert,0
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,SEQ,repeat,2
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,SEQ,append,5
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,SEQ,delete,2
aaabaaabaaabaaa,baabaaabaaaabaa,append('1' repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-34.783835,17,SEQ,cut,0
aaabaaabaaabaaa,baabaaabaaaabaa,append(delete('1' 3) repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-38.692519,19,INT,0,0
aaabaaabaaabaaa,baabaaabaaaabaa,append(delete('1' 3) repeat(append(delete(repeat(append(append('0' '0') append('1' '0'))) 8) delete('0' 3)))),-38.692519,19,INT,1,0
