from,to,h,prior,n_subnodes,type,name,count
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,INT,0,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,INT,1,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,INT,2,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,INT,3,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,INT,4,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,INT,5,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,INT,6,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,INT,7,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,INT,8,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,INT,9,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,INT,30,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,SEQ,1,2
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,SEQ,0,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,SEQ,from_seq,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,SEQ,invert,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,SEQ,repeat,2
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,SEQ,append,2
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,SEQ,delete,1
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) '1'),-19.692564,9,SEQ,cut,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) from_seq),-20.385711,9,INT,0,0
bbaaabbaaabbaaa,bbbbaaaaaaaaaaa,append(append(delete(repeat('1') 4) repeat('0')) from_seq),-20.385711,9,INT,1,0
